gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
142678,MIB2,1854.06768459764,-1.44215665650174,0.292799835546776,-4.92540118340112,8.41874474742715e-07,6.70418298674739e-06
51090,PLLP,464.221890078188,-1.4422534588599,0.576039490384259,-2.50374059927352,0.0122888094958082,0.0300198936560523
55116,TMEM39B,904.471421088042,-1.44270949353301,0.182736072817862,-7.89504486599639,2.90210821159922e-15,1.1411462449706e-13
23038,WDTC1,3789.84989864455,-1.44280412303787,0.221497508884511,-6.51386162446707,7.32429746281588e-11,1.42286104084187e-09
6273,S100A2,96264.1409935393,-1.44473545004265,0.538771781036823,-2.68153511541079,0.00732852225525152,0.0193457970884787
375061,FAM89A,1345.82790272216,-1.44500882592146,0.414906420359778,-3.48273431071144,0.000496320675167193,0.00188717504099495
7262,PHLDA2,1495.46959791587,-1.44534706573709,0.412304006560797,-3.50553728010879,0.000455686679675354,0.00174897227781317
130557,ZNF513,829.473465991649,-1.44818862490847,0.23041396988759,-6.28515981741464,3.27516587778615e-10,5.63570283117825e-09
441294,CTAGE15,201.351993059195,-1.44873264795786,0.472282232079236,-3.06751461214149,0.00215846907452131,0.00681068988354437
83451,ABHD11,1001.42299791183,-1.44876987279092,0.357315839752423,-4.05459179697924,5.02219258114359e-05,0.000251907210870783
84987,COX14,1269.71407109192,-1.44930518326054,0.307335640369787,-4.71570814734254,2.40871502587192e-06,1.71767871946919e-05
55690,PACS1,6938.91406320354,-1.44965651764756,0.237781073029518,-6.09660179920042,1.08346962197063e-09,1.64852386460209e-08
121665,SPPL3,4496.49897532924,-1.45064706705387,0.199927548475875,-7.25586382723501,3.99106450747619e-13,1.14092007569925e-11
79174,CRELD2,2104.11101791883,-1.45077898292112,0.277947682076682,-5.2196117344158,1.79298617153286e-07,1.68637152790377e-06
140576,S100A16,32360.0934280812,-1.45219610910134,0.376713048260595,-3.85491321791639,0.000115770688527835,0.000526113163785581
9612,NCOR2,8901.94746816492,-1.45282891953679,0.236775823830249,-6.13588370651544,8.46870935069913e-10,1.31094281822443e-08
2907,GRINA,9188.08979963616,-1.45289575956602,0.266416129616462,-5.45348272140142,4.93927474019462e-08,5.20284443047289e-07
79850,TLCD3A,2563.27857368019,-1.45337713135004,0.245748024139397,-5.91409488006966,3.33705493307559e-09,4.56647167711295e-08
255057,CBARP,77.6313984294082,-1.4533854876436,0.460277452705298,-3.15762911935241,0.00159057779253479,0.00522441618423452
1175,AP2S1,5860.69065864159,-1.45379851841537,0.333893929711874,-4.35407292270901,1.33631221888586e-05,7.80192780865324e-05
10994,ILVBL,3299.97158475308,-1.45388375966224,0.258963617278667,-5.61423946321283,1.97428649901853e-08,2.29302955063943e-07
5639,PRRG2,500.514112030171,-1.45391582673837,0.31336383381643,-4.63970525580844,3.48906444427454e-06,2.37132009251983e-05
347735,SERINC2,13005.0074467171,-1.45425493861727,0.421681295142867,-3.44870629873342,0.000563279008643013,0.0021053883464874
4357,MPST,2899.55181416905,-1.45499530731164,0.356255616552196,-4.08413296439485,4.42416940835385e-05,0.000225844852331557
5341,PLEK,1150.45591027691,-1.4554269031273,0.58793646461399,-2.4754833059774,0.0133055982007545,0.0321349560886993
11133,KPTN,546.386463746736,-1.45613186858842,0.299867204636027,-4.85592237522554,1.19827639585049e-06,9.20543286918175e-06
254359,ZDHHC24,793.110974842672,-1.45620719195352,0.273894616107761,-5.31666964706088,1.05683688500513e-07,1.04151886674235e-06
10095,ARPC1B,11554.3707987157,-1.45630540681443,0.311522495656688,-4.67480014162232,2.94240021928506e-06,2.03813516427449e-05
55057,CRYBG2,1976.86032735268,-1.45644217970375,0.473086189195541,-3.07859796579638,0.0020797713707627,0.00660066174753245
84876,ORAI1,1391.18319670974,-1.45669018439229,0.252508041715842,-5.76888630751636,7.97971139695866e-09,1.01072903347506e-07
11257,TP53TG1,837.842850417646,-1.45677216743273,0.369019208339094,-3.94768655536786,7.89100237016966e-05,0.000374870471646439
1468,SLC25A10,2129.65881269239,-1.45767821387136,0.337931799012029,-4.31352781281017,1.60669916408511e-05,9.19146451391019e-05
6818,SULT1A3,1112.5931281687,-1.45838702566083,0.387261291827815,-3.76589929444657,0.000165950676284818,0.000721502252000289
8673,VAMP8,6376.22003347057,-1.45866166148614,0.321566404144846,-4.53611335849968,5.73003895312737e-06,3.69097443355724e-05
441518,RTL8B,1051.1171854414,-1.46037901104642,0.32220145854404,-4.53250279389038,5.82889049290491e-06,3.73866143570468e-05
2990,GUSB,2612.99127229957,-1.46343377784459,0.248891558142187,-5.8798047983956,4.10750584443753e-09,5.52046530170046e-08
114897,C1QTNF1,2242.74569151697,-1.46495367726713,0.464593976019173,-3.1531912871954,0.00161495943533566,0.0052936283332345
54976,C20orf27,2281.99282560386,-1.46501627060427,0.321101159151435,-4.56247580817158,5.05539201328511e-06,3.29402640163491e-05
64949,MRPS26,1904.75867183291,-1.46631697313494,0.295488627837331,-4.96234655075173,6.96465857042508e-07,5.65900183095701e-06
51291,GMIP,1052.38382950043,-1.46650508777423,0.225602629369051,-6.50039005252572,8.01120219962686e-11,1.54709429460644e-09
84885,ZDHHC12,3028.65859463817,-1.4671122840541,0.289555410963302,-5.06677557560836,4.0461083756659e-07,3.50269205182536e-06
51337,THEM6,1647.63933952272,-1.46714275596369,0.33466123710615,-4.38396382159532,1.16539135603548e-05,6.89291569043984e-05
231,AKR1B1,3626.64037695589,-1.46740935673287,0.398929411281489,-3.67836844122142,0.000234730713846291,0.000978186175470966
80741,LY6G5C,33.7470363467863,-1.46747868785703,0.485032013779952,-3.0255295447834,0.00248198154661371,0.00766474730260048
5595,MAPK3,3145.39538567345,-1.46815461370705,0.234658337203718,-6.25656275929575,3.93554774206095e-10,6.58633167787094e-09
156,GRK2,6924.30973302402,-1.4681789484185,0.206454232611529,-7.11140154331967,1.14870393941018e-12,3.01931819349397e-11
283643,TEDC1,984.115476787978,-1.46820739925264,0.373844577569111,-3.92732030192739,8.58975544424712e-05,0.000404143659560901
64170,CARD9,140.26865200402,-1.46842041169636,0.551022216299145,-2.66490237282769,0.00770106759238559,0.0201715229526611
1439,CSF2RB,1102.81365369812,-1.46904119823776,0.561625259585208,-2.61569645090879,0.00890456807879399,0.0228801013146495
124446,TMEM219,3129.86141744526,-1.46944023724548,0.293931430656741,-4.9992620182274,5.75501540812766e-07,4.76309009813845e-06
113177,IZUMO4,100.978647682359,-1.47003154880015,0.543867602228784,-2.70292170884222,0.00687329337122586,0.0183569054549025
4363,ABCC1,8777.16371430753,-1.47010055810072,0.409266852498349,-3.59203426597234,0.000328106693845079,0.00131256083327361
221545,C6orf136,631.874347231952,-1.4712268514954,0.249828513695961,-5.8889469009365,3.88664288708844e-09,5.24522681012859e-08
23625,FAM89B,2993.266795633,-1.47131170526547,0.260983577373567,-5.63756432520451,1.7247218845319e-08,2.02965768887642e-07
11035,RIPK3,436.640229822684,-1.4713275502041,0.42056035064238,-3.49849325538354,0.000467894923500238,0.00179021461351732
4240,MFGE8,4862.47303742388,-1.47147352967498,0.347567253304716,-4.23363684490991,2.29942153899153e-05,0.000126873126448386
94032,CAMK2N2,105.70973535531,-1.47162233397893,0.519530244417371,-2.83260185483385,0.00461708540857459,0.0129995350784626
401127,LOC401127,17.2813704445515,-1.47254301236844,0.530081939905721,-2.77795356059546,0.00547024357310331,0.0150616295906227
51545,ZNF581,975.396453042102,-1.47430416798001,0.315143167353087,-4.67820445025925,2.89397918574747e-06,2.00814671918168e-05
9170,LPAR2,960.42033783504,-1.47456770447974,0.270816728040661,-5.44489151445013,5.18369686311689e-08,5.42528872119482e-07
5296,PIK3R2,4870.74265844264,-1.47465069372292,0.214301708149028,-6.88118963894321,5.93547723427804e-12,1.36900489047859e-10
958,CD40,1342.04075365844,-1.47520509109398,0.394411591611436,-3.74026809168253,0.00018382408298345,0.000790082901478853
283070,,752.455660809179,-1.47590290417612,0.424771530919723,-3.47458056094407,0.00051165270073811,0.00193794645761193
23646,PLD3,9898.14872023587,-1.476262236456,0.307291328806845,-4.80411289894852,1.55439108614771e-06,1.1671045340853e-05
3671,ISLR,3610.40449345313,-1.4767783640488,0.624636895914364,-2.36421891455362,0.0180681324727865,0.0418512148192696
6649,SOD3,578.535161759792,-1.47742274566022,0.497759052133401,-2.96814842307331,0.00299599623262238,0.00901884676821083
90956,ADCK2,1656.54931443888,-1.47765052445256,0.23517403015408,-6.28322150827813,3.3162801564214e-10,5.69144592664715e-09
89846,FGD3,594.589487501638,-1.47840102275254,0.400495429699331,-3.6914304461912,0.000222996380470243,0.000934256551640631
322,APBB1,477.173224238293,-1.47896002836756,0.475796123585833,-3.10839024332816,0.00188109501463562,0.00605523237528578
23125,CAMTA2,2066.11812336338,-1.47928258496008,0.184965746646676,-7.99760286311725,1.26864780734441e-15,5.21904650491979e-14
5613,PRKX,2462.83459356211,-1.48000619179339,0.440412885335063,-3.36049702693738,0.000778023680787545,0.00280214451300013
8536,CAMK1,344.465579553168,-1.48039434722739,0.36780148966816,-4.02498192316468,5.69796922864818e-05,0.000281122785173567
376693,RPS10P7,89.7670804487846,-1.48113470647294,0.366242578944985,-4.04413574942477,5.25164858162794e-05,0.000261540647318002
57121,LPAR5,1130.97960590692,-1.48120776347642,0.366713930042198,-4.03913689154372,5.36482495947764e-05,0.000266229098724002
2052,EPHX1,4799.09153594015,-1.48185621551201,0.470521563829658,-3.14939065374798,0.00163611323749847,0.00535490045406904
54932,EXD3,459.904478429882,-1.48229418159821,0.322489326995267,-4.59641314461229,4.29826025148261e-06,2.84065245509728e-05
196743,PAOX,404.200818590063,-1.48348193222242,0.29177654617168,-5.08430835749745,3.68968093998958e-07,3.23272179717566e-06
10519,CIB1,5164.20495002179,-1.48391617153464,0.299085422623869,-4.96151286316894,6.99462372601196e-07,5.67424501313472e-06
