"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BRD4",3380.80545085482,-0.032396528461927,0.0407651535687443,-0.794711306736406,1,1
"AKAP8",1132.84057722128,-0.0321071749364184,0.0600631010921556,-0.53455739634815,1,1
"AKAP8L",1475.1335644373,-0.0251023897395189,0.0636336424131206,-0.394482993391292,1,1
"WIZ",1649.49149834445,0.0420267586064425,0.0530473208650305,0.792250351594043,1,1
"UCA1",563.869074291816,-0.284230063877132,0.0834206810806244,-3.40718944265666,0.999804082539297,1
"CYP4F11",142.882864943842,-0.572503440098957,0.158509094749608,-3.61180184016143,0.518860622346778,1
"TPM4",19774.1211459294,-0.02194677097489,0.0263205585404968,-0.833826187279523,1,1
"RAB8A",1974.15550638318,-0.0625999769301441,0.0465739137049192,-1.34409956025517,1,1
"HSH2D",53.6501374396391,-0.295606818112694,0.265469055087705,-1.11352646362128,0.858465782684943,1
"FAM32A",1154.59386992045,0.0169745421555616,0.0601143888929247,0.282370701393914,1,1
"AP1M1",1027.99291950149,-0.0654111364453659,0.0623243631696045,-1.04952755421441,1,1
"KLF2",11.2551632648358,0.836507175831396,0.548931986993186,1.52388127427848,0.325081499597094,1
"EPS15L1",942.127674589972,-0.0138312210044613,0.0670044088348461,-0.206422551067539,1,1
"C19orf44",101.556141229212,-0.0372597273725667,0.187318060763234,-0.198911558344938,0.99861048109777,1
"CHERP",1463.85542898783,0.0344626028724694,0.0532990391934936,0.646589570730505,1,1
"SLC35E1",1834.51119256774,-0.0282141720657767,0.0484027840810929,-0.582903909380653,1,1
"MED26",254.392808944047,0.141045434438633,0.122254569946202,1.15370275729324,0.999834977302626,1
"SMIM7",918.494998343581,0.072268542070838,0.0639864914981941,1.12943435995202,0.999999999999999,1
"TMEM38A",109.299967390576,0.364433000552178,0.174039572064205,2.09396631024658,0.892254882361694,1
"SIN3B",1394.54184994216,0.105896675353693,0.0662291523166925,1.59894354146825,0.999999999999592,1
"HAUS8",493.365927396756,0.0300217002062153,0.0914071070653942,0.328439452577109,0.999999999122981,1
"MYO9B",2165.73965868733,-0.0275489019034849,0.0474232116044074,-0.58091598969068,1,1
"USE1",225.469789942786,0.409981005667844,0.123727180738878,3.31358884296488,0.915301548285748,1
"OCEL1",111.756925906512,-0.0753525477223,0.17649420865094,-0.426940624841283,0.997979362966971,1
"NR2F6",1504.02980136971,-0.137773782810067,0.0592063123386021,-2.32701172169171,0.99999999999996,1
"BABAM1",1579.65159269427,0.0279789070254569,0.0546982611974896,0.511513646191389,1,1
"ANKLE1",11.3749368307165,0.216634352623964,0.550792795503993,0.39331370052823,0.819322020820432,1
"ABHD8",260.254339187172,0.0665382592516959,0.117431164514991,0.566614999744825,0.999993875352383,1
"MRPL34",459.290309499974,-0.0870933668186783,0.088265605831245,-0.986719186918538,0.999999988271683,1
"DDA1",874.97828125378,0.129803754937035,0.0677706231678048,1.9153395508203,0.999999999984626,1
"ANO8",234.411750019309,0.129003642793254,0.120623243309691,1.06947582616434,0.999907582714888,1
"GTPBP3",583.074426449204,0.0621636322528983,0.0851158532345487,0.730341409861659,0.999999999413555,1
"BST2",170.400665048666,-2.03453281012719,0.171727794906607,-11.8474287242415,1.2270641074399e-17,6.6156934118528e-15
"SLC27A1",166.029967913008,-0.109869338243644,0.149730601431277,-0.733780117046222,0.999156848198994,1
"MVB12A",489.002883131198,-0.0108355412102782,0.0921035816943437,-0.117645166571667,0.999999999749161,1
"TMEM221",25.4673951823525,-0.0738267108577768,0.371915549750396,-0.198503963889986,0.952615495351175,1
"PGLS",661.097251867949,-0.18107274396914,0.0861779251802253,-2.10114995911609,0.999998163813227,1
"COLGALT1",2715.68423630235,-0.178543074592036,0.0416462881618541,-4.28713055766569,1,1
"MAP1S",339.514143577399,-0.115911552897335,0.101804517589343,-1.1385698360155,0.999997425502627,1
"B3GNT3",231.978835067073,0.265125252904951,0.126353995467217,2.09827359969585,0.993648781693073,1
"JAK3",47.9827102559143,0.330620010602103,0.281699765416107,1.1736609368976,0.812607506678511,1
"RPL18A",8425.9905532877,-0.126784766421694,0.033971811920387,-3.7320578224916,1,1
"CCDC124",1075.33347665341,-0.0286976322063533,0.064785339221158,-0.442964913842437,1,1
"ARRDC2",249.723364541718,-0.203436784319668,0.123659183980794,-1.64514092500614,0.998837255327001,1
"MAST3",289.17208636221,-0.142006715933705,0.115713701204291,-1.2272247318664,0.99992319111921,1
"PIK3R2",1680.96701439202,-0.0690648606172483,0.0503898273532467,-1.3706111777896,1,1
"IFI30",547.418422593667,-0.121179991936653,0.0844827231445797,-1.43437601708543,0.999999971969908,1
"MPV17L2",202.516672144032,0.211780187313526,0.135119000300353,1.56736052548321,0.996786407697683,1
"RAB3A",25.8966032847794,0.145595621112077,0.370522002660546,0.392947301554626,0.904581156981891,1
"JUND",721.371246259912,-0.197551088912982,0.0761786988284788,-2.5932589024365,0.999999742204215,1
"LSM4",3352.07916932073,0.00648785284978244,0.05005190155973,0.129622504792152,1,1
"LOC102724342",22.1389760114484,0.00204015564661454,0.386011416241709,0.00528522100843011,0.99863615714303,1
"PGPEP1",259.70181270093,0.219962335211654,0.11656907988754,1.8869698158711,0.998994559805828,1
"GDF15",305.566352180596,0.300797109495958,0.110915779321562,2.71194154101286,0.994086278297913,1
"SSBP4",496.362458057119,-0.270383700177577,0.0876644773336186,-3.08430174229634,0.999793655106365,1
"ISYNA1",1259.10388258415,0.0216132067440705,0.0565760271066718,0.382020580966557,1,1
"ELL",378.476118318285,0.241790432301024,0.0964388856443999,2.50718816051629,0.999773391259964,1
"FKBP8",4298.7719462959,-0.0690846875463496,0.0410818856287088,-1.68163380256509,1,1
"KXD1",1158.21459170799,0.0518447744945689,0.0657019351143133,0.789090525330272,1,1
"UBA52",6564.19515575013,0.079246641076221,0.0353950165215312,2.23892086695353,1,1
"C19orf60",164.997147257818,-0.0575375868237897,0.153451116328094,-0.37495710816967,0.999685162976745,1
"KLHL26",246.944704063038,-0.0357020349184051,0.124158047839257,-0.287553127161175,0.999994525909598,1
"CRTC1",269.467703882785,0.314217335538112,0.114395752409735,2.74675701605309,0.989920124464017,1
"UPF1",3565.91536561821,0.055672984254754,0.0395563798040512,1.40743375734936,1,1
"COPE",1634.22322947535,0.0756234673788787,0.0510447782534648,1.48151231068862,1,1
"DDX49",764.743464266735,0.00341558092511754,0.0718092629537836,0.0475646286373363,1,1
"HOMER3",1184.21636031585,-0.0440029260326445,0.0596409150678884,-0.737797634099957,1,1
"SUGP2",3083.24539069874,0.0941054243144222,0.0439066530636657,2.14330671431428,1,1
"ARMC6",786.804783651172,-0.112579117767143,0.0721072764361188,-1.56127263892541,0.999999999954832,1
"SLC25A42",168.908476347087,0.036749271606793,0.141749631316089,0.259254794990228,0.999943344226002,1
"TMEM161A",354.852136939923,-0.0367752373329634,0.0979554639079083,-0.375428137092355,0.999999985507356,1
"MEF2BNB",55.5400226474451,0.279149180784403,0.251943637160561,1.1079826580677,0.88410910728119,1
"RFXANK",527.697731574462,0.07277430055857,0.0832079057153012,0.874608006690732,0.999999999455829,1
"NR2C2AP",285.528177179845,-0.104958139811582,0.110669588615408,-0.948391885473846,0.999991164031715,1
"SUGP1",747.308545308248,0.0188260066958695,0.0717818621401786,0.262266903289654,0.999999999999997,1
"MAU2",894.549013847207,0.0525307853743065,0.0660978735940168,0.794742440535358,0.999999999999999,1
"GATAD2A",3551.31168074954,-0.00953368565497596,0.0422391286381569,-0.225707441473205,1,1
"TSSK6",38.4983856101102,-0.345626007829949,0.306643219857215,-1.12712750665378,0.778931975274933,1
"NDUFA13",1764.16691911408,0.0667315588347634,0.0563386254848913,1.18447261111578,1,1
"YJEFN3",54.1395085704089,-0.0939602741785569,0.246150383405571,-0.381718983649693,0.978931869127806,1
"PBX4",12.1004747800984,0.027870266018767,0.537486928212508,0.0518529187518171,0.976885287856165,1
"LPAR2",178.116924729551,-0.0530052760158053,0.143071927607379,-0.370479918053969,0.999889775394997,1
"GMIP",371.876200809758,0.157491300280786,0.100633001706789,1.56500648504617,0.999986566171638,1
"ATP13A1",1313.76615535363,0.072877864900946,0.0587592856117717,1.24027826652722,1,1
"ZNF101",221.121507481125,0.0340970845000299,0.137855094867644,0.247340038703444,0.999966722789232,1
"ZNF14",195.189770784612,0.217094455724502,0.135089935732137,1.60703648682584,0.996388668849987,1
"LINC00663",19.2757756425997,0.540699124859421,0.42394139996542,1.27541005644536,0.541032865342258,1
"LOC101928926",16.984430632848,0.538537178616742,0.485252426372566,1.10980831696711,0.544628077100682,1
"ZNF506",384.872781560539,0.308025622597574,0.0990223888876257,3.11066644682884,0.996989125895227,1
"ZNF253",287.418656525466,0.199320625951478,0.113133181350582,1.761822867279,0.999617112706728,1
"ZNF93",75.7059283142402,0.0344477463936717,0.230189427782084,0.149649559172121,0.994906626808167,1
"ZNF486",61.0370434664054,0.0992306918198026,0.244893562263046,0.405199266582666,0.977959372557375,1
"ZNF430",480.061032698343,0.185838150852714,0.0886139304351587,2.09716632520546,0.99999566793628,1
"ZNF714",85.9078038773687,0.210133577851235,0.198160179323396,1.06042282848512,0.969047843780413,1
"ZNF431",665.287883777981,0.318862875418194,0.0772173240549357,4.12942146494667,0.99963999796202,1
"ZNF708",214.86966253007,0.234594266118578,0.126347023308598,1.85674549328788,0.996869464726235,1
